[2022-07-22 09:10:09] warning: Route not found in /home/hoshiko/projects/www/html/mvc/Config/router.php on line no. 14
[2022-07-22 11:39:19] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 11:48:27] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 11:56:20] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 11:59:22] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 12:12:48] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 12:12:50] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 12:34:04] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 12:35:18] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 12:35:46] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:09:54] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:14:14] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:32] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:34] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:34] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:34] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:34] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:35] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:35] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:35] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:17:35] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:18:01] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:18:02] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:18:02] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:18:03] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:22:37] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:30:55] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:08] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:08] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:09] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:09] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:09] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:09] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:10] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:10] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:10] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:22] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:23] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:23] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
[2022-07-22 15:37:23] warning: Check your sql query in /home/hoshiko/projects/www/html/mvc/Model/MainModel.php on line no. 14
